file_path,file_size,file_md5,is_symlink
/Users/arunpatro/My Drive/Google Photos/2019/VID-20190206-WA0003.mp4,74426109,e029902ce8634bf832def8200792f283,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant/test.t7,73800302,4e70fdfb7747cf05ddf580c69b65fd52,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150526_222510017.mp4,73178192,bf2a6fc7a82f5ea70c88fc428be1b507,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_151126358.mp4,72687165,515c0f671f2013f49ffc573b56a45a64,False
/Users/arunpatro/My Drive/Books/Learning/Mark Crilley.pdf,71213829,53868c07b272578cec586fa3fea363fa,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Copyright Law/endsemnotes.pdf,70881444,d23bb5efa327122c3636de26ea7f8539,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180303_142239128.mp4,70681595,4dd25222152f29eab846da710abb4345,False
/Users/arunpatro/My Drive/Google Photos/2014/Eminem - Superman (Official Video) (Uncensored) (HD).mp4,70272539,fe7da5234c01039c018fa807003831bf,False
/Users/arunpatro/My Drive/Photos/EE 4th Year Industrial Trip/DSC_0105.MOV,69389591,710b1097b2345ec72af4dcd771fa28ab,False
/Users/arunpatro/My Drive/Google Photos/2017/VID_20171221_190119073.mp4,66119886,5bd846cd12a8e61244845467aa478e61,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_135253756.mp4,65583356,c1cd77e74529e87c8d1a79eca6f1c91a,False
"/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/CAOS/books/Operating Systems-Concepts-Silberschatz, Galvin[7thEd].pdf",65250554,ca6c49bb41400a14bd0de93ff43043f3,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150312_223958650.mp4,63812548,a8b1880112b461bdd3c3ecd16ae1a2a6,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/divyanshu.pdf,63743948,b0383f4caef918bf099405adc9cee942,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Vinit - End Sem.pdf,63408502,2225d83a1f21c00cd9506bc807888b52,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150524_124219.mp4,63081096,a20b5df242f44201e6f022453fc89706,False
