Pair,Count,Folder1,Folder2
"('/Users/arunpatro/My Drive/IIT - KGP/Semester 8', '/Users/arunpatro/My Drive/Internships/2017-Myntra')",1,/Users/arunpatro/My Drive/IIT - KGP/Semester 8,/Users/arunpatro/My Drive/Internships/2017-Myntra
"(""/Users/arunpatro/My Drive/Arun's Photos on iPhone"", '/Users/arunpatro/My Drive/IIT - KGP/Semester 8')",1,/Users/arunpatro/My Drive/Arun's Photos on iPhone,/Users/arunpatro/My Drive/IIT - KGP/Semester 8
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem', '/Users/arunpatro/My Drive/IIT - KGP/Semester 8')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem,/Users/arunpatro/My Drive/IIT - KGP/Semester 8
"('/Users/arunpatro/My Drive/Finances', '/Users/arunpatro/My Drive/IIT - KGP/Semester 8')",1,/Users/arunpatro/My Drive/Finances,/Users/arunpatro/My Drive/IIT - KGP/Semester 8
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/IIT - KGP/Semester 8')",1,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/IIT - KGP/Semester 8
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World', '/Users/arunpatro/My Drive/IIT - KGP/Semester 8')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World,/Users/arunpatro/My Drive/IIT - KGP/Semester 8
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes', '/Users/arunpatro/My Drive/IIT - KGP/Semester 8')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes,/Users/arunpatro/My Drive/IIT - KGP/Semester 8
"(""/Users/arunpatro/My Drive/Arun's Photos on iPhone"", '/Users/arunpatro/My Drive/Internships/2017-Myntra')",1,/Users/arunpatro/My Drive/Arun's Photos on iPhone,/Users/arunpatro/My Drive/Internships/2017-Myntra
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem', '/Users/arunpatro/My Drive/Internships/2017-Myntra')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem,/Users/arunpatro/My Drive/Internships/2017-Myntra
"('/Users/arunpatro/My Drive/Finances', '/Users/arunpatro/My Drive/Internships/2017-Myntra')",1,/Users/arunpatro/My Drive/Finances,/Users/arunpatro/My Drive/Internships/2017-Myntra
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/Internships/2017-Myntra')",1,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/Internships/2017-Myntra
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World', '/Users/arunpatro/My Drive/Internships/2017-Myntra')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World,/Users/arunpatro/My Drive/Internships/2017-Myntra
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes', '/Users/arunpatro/My Drive/Internships/2017-Myntra')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes,/Users/arunpatro/My Drive/Internships/2017-Myntra
"(""/Users/arunpatro/My Drive/Arun's Photos on iPhone"", '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem')",1,/Users/arunpatro/My Drive/Arun's Photos on iPhone,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem
"(""/Users/arunpatro/My Drive/Arun's Photos on iPhone"", '/Users/arunpatro/My Drive/Finances')",1,/Users/arunpatro/My Drive/Arun's Photos on iPhone,/Users/arunpatro/My Drive/Finances
"(""/Users/arunpatro/My Drive/Arun's Photos on iPhone"", '/Users/arunpatro/My Drive/Certificates')",1,/Users/arunpatro/My Drive/Arun's Photos on iPhone,/Users/arunpatro/My Drive/Certificates
"(""/Users/arunpatro/My Drive/Arun's Photos on iPhone"", '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World')",1,/Users/arunpatro/My Drive/Arun's Photos on iPhone,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Power World
"(""/Users/arunpatro/My Drive/Arun's Photos on iPhone"", '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes')",1,/Users/arunpatro/My Drive/Arun's Photos on iPhone,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/Shivang Notes
"('/Users/arunpatro/My Drive/Finances', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem')",1,/Users/arunpatro/My Drive/Finances,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem')",1,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob notes end sem
